BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,
Simulation.nlogo,,,,,,,,,,,,,
Basic_100_people_End,,,,,,,,,,,,,
04/29/2020 12:18:45:896 -0300,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,
[run number],beta-gov,sigma,pop-size,layout-type,graphics?,test?,debug?,nw-type,[step],count people with [social-distancing?],count people with [not social-distancing?],mean [opinion] of people,standard-deviation [opinion] of people
1,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,894,3,97,0.034955613,0.002257951
6,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,879,7,93,0.063614407,0.164083814
7,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,878,3,97,0.043886349,0.096637917
2,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,906,2,98,0.034680789,0.003958288
8,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,903,1,99,0.034570321,0.004443893
3,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,910,3,97,0.035133189,8.72E-04
5,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,916,5,95,0.04483095,0.095238938
4,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,926,5,95,0.064103148,0.163567682
13,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,891,4,96,0.053782251,0.13447733
11,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,896,8,92,0.064251241,0.164564785
9,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,918,2,98,0.034705027,0.003513889
12,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,895,3,97,0.05465882,0.13536911
14,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,910,5,95,0.054663462,0.135003199
10,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,966,9,91,0.034328425,0.004830342
15,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,915,4,96,0.044948579,0.09600698
16,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,1000,4,96,0.043891803,0.095927183
17,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,879,6,94,0.053925272,0.134476596
18,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,894,6,94,0.054266813,0.134563172
19,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,914,6,94,0.034872673,0.002816993
21,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,914,6,94,0.063579802,0.163932238
23,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,914,4,96,0.034117909,0.00623319
22,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,923,2,98,0.044563757,0.096318221
20,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,995,6,94,0.043564389,0.096627479
24,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,906,7,93,0.044803107,0.095808516
25,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,889,3,97,0.034500733,0.004558175
27,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,895,7,93,0.073719545,0.188096969
26,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,918,4,96,0.034993212,0.002206396
28,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,895,2,98,0.034590466,0.004401776
29,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,890,8,92,0.064045351,0.163803849
30,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,889,6,94,0.034354297,0.005681831
31,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,912,4,96,0.044265771,0.095981656
32,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,904,5,95,0.044394663,0.09580621
34,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,898,5,95,0.054600252,0.135431649
33,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,882,4,96,0.054116123,0.134644273
