BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,,,
Simulation.nlogo,,,,,,,,,,,,,,,,
Interventions_100_people_End,,,,,,,,,,,,,,,,
04/29/2020 17:09:00:810 -0300,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,
[run number],beta-gov,sigma,pop-size,layout-type,graphics?,test?,debug?,intervention?,nw-type,intervention-type,perc-interventions,[step],count people with [social-distancing?],count people with [not social-distancing?],mean [opinion] of people,standard-deviation [opinion] of people
8,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,838,11,89,0.132369323,0.290758264
3,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,833,13,87,0.133369593,0.290354753
1,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,822,16,84,0.143233104,0.302672864
7,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,819,15,85,0.152772071,0.314114833
5,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,830,15,85,0.162746021,0.324592701
4,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,836,11,89,0.133332736,0.290369712
6,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,840,17,83,0.152784955,0.313974509
2,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,883,12,88,0.14326357,0.302696455
14,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,789,17,83,0.161853732,0.32510441
11,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,840,15,85,0.132861309,0.290555592
12,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,834,13,87,0.133416543,0.290336117
13,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,840,14,86,0.133384821,0.290347582
15,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,824,14,86,0.142740124,0.302428895
9,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,879,15,85,0.142984601,0.30264137
16,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,850,16,84,0.15294419,0.313986094
10,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,1039,16,84,0.142047495,0.303104081
20,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,811,14,86,0.152583517,0.314246951
22,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,831,14,86,0.133109211,0.290451889
21,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,835,14,86,0.152907196,0.314133226
19,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,860,14,86,0.143292409,0.30256787
18,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,870,12,88,0.133353699,0.290353418
17,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,959,16,84,0.141996028,0.302774346
23,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,826,16,84,0.142655866,0.302698916
24,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,833,13,87,0.142994628,0.302751356
